nc_house_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
,52,61,119,1,233,0.46017699115044247,0.5398230088495575,0.5107296137339056,0.004291845493562232
001,13754,21759,23521,352,59386,0.38729479345591755,0.6127052065440824,0.39606978075640725,0.005927322938066211
002,22026,13125,21125,263,56539,0.6266109072288129,0.37338909277118715,0.37363589734519537,0.004651656378782787
003,13993,22998,20741,398,58130,0.37828120353599526,0.6217187964640047,0.35680371580939274,0.0068467228625494585
004,13402,15551,14545,176,43674,0.46288812903671467,0.5371118709632853,0.3330356733983606,0.004029857581169575
005,18566,13907,19456,283,52212,0.5717365195701044,0.4282634804298956,0.3726346433770015,0.005420209913429863
006,12830,18557,18547,439,50373,0.4087679612578456,0.5912320387421544,0.368193278145038,0.008714986202926172
007,18613,18458,21180,348,58599,0.5020905829354482,0.49790941706455183,0.36143961501049504,0.005938667895356576
008,20338,9333,18132,286,48089,0.6854504398233966,0.3145495601766034,0.3770508848177338,0.005947306036723575
009,18008,18751,20873,314,57946,0.4898936314916075,0.5101063685083925,0.3602146826355572,0.005418838228695682
010,15533,18106,14288,268,48195,0.461755700228901,0.538244299771099,0.29646228861915136,0.005560742815644776
011,17791,10687,26930,344,55752,0.6247278601025353,0.3752721398974647,0.4830319988520591,0.006170182235614866
012,18139,14492,15446,169,48246,0.555882443075603,0.44411755692439703,0.3201508933383078,0.003502881067860548
013,9393,27681,22305,357,59736,0.2533581485677294,0.7466418514322706,0.37339292888710324,0.005976295701084773
014,6104,14312,16006,403,36825,0.29898119122257055,0.7010188087774295,0.4346503733876443,0.010943652410047522
015,8992,20268,21932,524,51716,0.30731373889268626,0.6926862611073138,0.4240853894346044,0.010132260809033955
016,10618,28457,24811,556,64442,0.27173384516954574,0.7282661548304542,0.38501287979888893,0.008627913472579995
017,16778,34337,32864,413,84392,0.3282402425902377,0.6717597574097623,0.38942079817992226,0.004893828798938288
018,19373,13336,25676,483,58868,0.5922834693815158,0.40771653061848423,0.4361622613304342,0.008204797173336957
019,14651,32119,31883,406,79059,0.31325636091511655,0.6867436390848835,0.40328109386660593,0.005135405203708623
020,15254,23464,28178,459,67355,0.3939769616199184,0.6060230383800816,0.4183505307698018,0.006814638853834163
