house_id,base_population,base_pop_dev,base_pop_score,base_pp,base_compactness_score,base_Fairness,opt_population,opt_pop_dev,opt_pop_score,opt_pp,opt_compactness_score,opt_Fairness,delta_pop_score,delta_compactness_score,delta_fairness,frontier_relative_base,frontier_relative_opt
23,31766.0,0.03822281645757421,0.617771835424258,0.6775944428406138,1.0,0.7706631012545548,32719.0,0.00936889541255967,0.9531555229372016,0.6216677170820055,1.0,0.971893313762321,0.3353836875129437,0.0,0.20123021250776618,1.6476039322209362,3.739530807742106
81,31750.0,0.038707247450984736,0.6129275254901527,0.35250926403077876,0.7050185280615575,0.6497639265187147,32339.0,0.020874131506059695,0.8956293424697015,0.3648234154618736,0.7296468309237472,0.8292363378513198,0.28270181697954877,0.024628302862189644,0.17947241133260505,0.3907736098434096,2.256513132763095
75,31626.0,0.042461587649916324,0.5753841235008368,0.2312895405488447,0.4625790810976894,0.5302621065395778,31626.0,0.042461587649916324,0.7876920617504184,0.2312895405488447,0.4625790810976894,0.6576468694893267,0.2123079382495816,0.0,0.12738476294974888,-0.8515302458880014,0.47272223998654705
83,31627.0,0.042431310712828164,0.5756868928717184,0.2827771015192752,0.5655542030385504,0.5716338169384512,31627.0,0.042431310712828164,0.7878434464358592,0.2827762174400056,0.5655524348800112,0.6989270418135201,0.21215655356414087,-1.7681585392503862e-06,0.1272932248750689,-0.4214427764612043,0.901858107980487
44,31630.0,0.04234047990156369,0.5765952009843631,0.06639052201364162,0.13278104402728325,0.3990695382015311,31630.0,0.04234047990156369,0.7882976004921816,0.06639052201364162,0.13278104402728325,0.5260909779062223,0.21170239950781844,0.0,0.12702143970469115,-2.215367495547596,-0.8948920054400649
72,31665.0,0.04128078710347816,0.5871921289652184,0.10139742910608981,0.20279485821217963,0.4334332206640029,31665.0,0.04128078710347816,0.7935960644826092,0.10139742910608981,0.20279485821217963,0.5572755819744374,0.20640393551739078,0.0,0.12384236131043447,-1.8581333109325702,-0.5707065337864566
45,31678.0,0.04088718692133211,0.5911281307866789,0.24136687419906755,0.4827337483981351,0.5477703778312614,31678.0,0.04088718692133211,0.7955640653933395,0.24136687419906755,0.4827337483981351,0.6704319385952577,0.20443593460666054,0.0,0.12266156076399637,-0.6695196879178607,0.6056318529854416
26,31685.0,0.040675248361715,0.59324751638285,0.19282720568437714,0.3856544113687543,0.5102102743772117,31685.0,0.040675248361715,0.7966237581914251,0.19282720568437714,0.3856544113687543,0.6322360194623567,0.20337624180857505,0.0,0.12202574508514508,-1.059982873757063,0.20855892455395628
97,31696.0,0.040342202053745266,0.5965779794625474,0.33084091528535226,0.6616818305707045,0.6226195199058102,31696.0,0.040342202053745266,0.7982889897312737,0.33084091528535226,0.6616818305707045,0.7436461260670459,0.2017110102687263,0.0,0.12102660616123573,0.10858877782461904,1.3667438377763346
73,31713.0,0.03982749412324658,0.6017250587675342,0.2728910919667059,0.5457821839334118,0.5793479088338853,31713.0,0.03982749412324658,0.8008625293837671,0.2728910919667059,0.5457821839334118,0.698830391203625,0.19913747061623288,0.0,0.11948248236973968,-0.3412494697246429,0.9008533582172418
