DISTRICT,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness,grade
1,140255,0.1809236272820476,0.0,6849555433.7908535,643232.2075507558,0.2080351329488948,0.4160702658977896,0.16642810635911587,F
2,198612,0.15987591556991165,0.0,1391155619.6153295,208442.9502617092,0.40235662402146904,0.8047132480429381,0.32188529921717524,F
3,137864,0.19488684860869282,0.0,1742631068.1959937,293580.53252485424,0.2540743415286229,0.5081486830572458,0.20325947322289833,F
4,156368,0.08682518092644984,0.1317481907355017,2788073940.6151323,297456.90278285305,0.3959734322442618,0.7919468644885236,0.39582766023671045,F
5,116222,0.3212741492993058,0.0,3381824087.912143,375234.8585283435,0.30182452370121804,0.6036490474024361,0.24145961896097445,F
6,212744,0.2424055031015512,0.0,1165312740.6645167,173183.91845597548,0.4882443600512396,0.9764887201024792,0.3905954880409917,F
7,162142,0.05310554899836558,0.4689445100163442,1563799651.731862,229658.74307331743,0.37258469319107523,0.7451693863821505,0.5794344605626667,C
8,139163,0.18730080741115535,0.0,684361360.4474033,155166.20600811593,0.35719145635077204,0.7143829127015441,0.28575316508061765,F
9,150136,0.12321949096729172,0.0,1013506639.6779071,233039.3072749908,0.23451903630899595,0.4690380726179919,0.18761522904719677,F
10,135824,0.20680026203669627,0.0,780773227.5951885,160964.8194212763,0.3786804144208188,0.7573608288416376,0.30294433153665506,F
11,195859,0.14379864735065015,0.0,74073978.53365324,48692.616027961274,0.3925991181701676,0.7851982363403353,0.31407929453613415,F
12,192792,0.12588764784884302,0.0,2958467689.2992435,357439.20774654223,0.29098614893327185,0.5819722978665437,0.23278891914661748,F
13,106427,0.37847605347935176,0.0,3705912192.665939,342501.3270815705,0.3969908269316814,0.7939816538633628,0.31759266154534516,F
14,200538,0.17112357942399725,0.0,990551940.9744494,214928.72751099523,0.269462405505133,0.538924811010266,0.2155699244041064,F
15,173612,0.013878201991438093,0.8612179800856191,790622329.0254133,166748.9375669031,0.3573162674530132,0.7146325349060264,0.802583802013782,B
16,187801,0.09674066431003654,0.03259335689963461,2982745088.917446,311925.83747460146,0.3852328412339453,0.7704656824678906,0.32774228712693704,F
17,143652,0.16108545796100462,0.0,1759427383.9597695,313902.63326430414,0.22438369389813193,0.44876738779626385,0.17950695511850556,F
18,139796,0.1836041453033484,0.0,103512334.62488912,65165.826272283535,0.30631069117264553,0.6126213823452911,0.24504855293811645,F
19,137073,0.19950621626631573,0.0,1279427219.492222,250989.15489301068,0.25522048962342136,0.5104409792468427,0.2041763916987371,F
20,175274,0.023584129990135014,0.7641587000986498,427678167.7806852,151324.75638906469,0.2346966972165817,0.4693933944331634,0.6462525778324553,C
21,168878,0.01376792505178166,0.8623207494821834,193808582.48624852,87868.59839553083,0.31543906098272845,0.6308781219654569,0.7697436984754927,B
22,144050,0.15876117436083534,0.0,4754214391.706514,406418.73523069615,0.3616939016716532,0.7233878033433064,0.2893551213373226,F
23,169445,0.01045669690782188,0.8954330309217812,4415608843.144338,392582.06905481813,0.36003070367554973,0.7200614073510995,0.8252843814935085,B
24,141532,0.17346606407245918,0.0,1015438090.4026544,146087.88328911943,0.59790876687977,1.0,0.4,D
25,141045,0.17631009953296786,0.0,1356825151.5184891,194717.5054818695,0.44970089836593574,0.8994017967318715,0.3597607186927486,F
26,200265,0.16952928439172033,0.0,522155723.9506991,128071.90249655327,0.4000388639140829,0.8000777278281658,0.3200310911312663,F
27,115862,0.32337651637483583,0.0,4468049885.098389,397808.51205389254,0.35479683256841493,0.7095936651368299,0.283837466054732,F
28,198728,0.16055334496091578,0.0,1343732891.286567,184224.912102566,0.49753781642016137,0.9950756328403227,0.3980302531361291,F
29,172482,0.007279105337691088,0.9272089466230892,116913270.78745313,50475.58144615294,0.5766482969445706,1.0,0.9563253679738535,A
