district_working,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness
01,797584.0,0.03406397637914476,0.8637440944834209,28484214618.02477,1123634.8530394465,0.28350695005485577,0.5670139001097115,0.7450520167339372
02,859284.0,0.04065950435442909,0.8373619825822837,33632669537.619293,1306463.2674016184,0.2476149128476257,0.4952298256952514,0.7005091198274708
03,797551.0,0.03410394193610113,0.8635842322555954,27838159568.672813,1439396.0515610846,0.16884560861051018,0.33769121722102036,0.6532270262417653
04,848425.0,0.0275084139608168,0.8899663441567328,55740727061.06266,2719079.3696737695,0.09474116561892584,0.1894823312378517,0.6097727389891803
