OBJECTID,ID,AREA,DISTRICT,MEMBERS,LOCKED,NAME,POPULATION,IDEAL_VALU,DEVIATION,F_DEVIATIO,DISTRICT_L,DISTRICT_I,MULTIPLE_F,Shape__Area,Shape__Length
31,39,32.786201,CHI-1,1, ,Chittenden-1,4167,4287,-120,-0.027992,CHI-1|-2.8%,0,CHI-1|-2.8%|4167|1.0,85091044.4780121,39045.1316835942
32,40,4.008991,WAS-3,2, ,Washington-3,8491,8574,-83,-0.00968,WAS-3|-0.97%,0,WAS-3|-0.97%|8491|2.0,10403781.6761322,17039.1626298962
33,41,34.77235,WAS-ORA,2, ,Washington-Orange,8470,8574,-104,-0.01213,WAS-ORA|-1.21%,0,WAS-ORA|-1.21%|8470|2.0,90237692.8797531,57780.6685088915
34,43,162.281433,ORA-1,1, ,Orange-1,4207,4287,-80,-0.018661,ORA-1|-1.87%,0,ORA-1|-1.87%|4207|1.0,421126456.51696,101637.731969326
35,44,76.24247,ORA-3,1, ,Orange-3,4201,4287,-86,-0.020061,ORA-3|-2.01%,0,ORA-3|-2.01%|4201|1.0,197850847.138161,79218.4467109922
36,46,73.57476,ORA-2,1, ,Orange-2,4399,4287,112,0.026125,ORA-2|2.61%,0,ORA-2|2.61%|4399|1.0,190927432.367477,66750.0533856098
37,47,81.354118,WAS-1,2, ,Washington-1,8767,8574,193,0.02251,WAS-1|2.25%,0,WAS-1|2.25%|8767|2.0,211122771.062851,73932.9011080745
38,48,184.789795,WAS-2,2, ,Washington-2,8351,8574,-223,-0.026009,WAS-2|-2.6%,0,WAS-2|-2.6%|8351|2.0,479560192.095802,106797.038731004
39,49,37.436382,CHI-4,1, ,Chittenden-4,4614,4287,327,0.076277,CHI-4|7.63%,0,CHI-4|7.63%|4614|1.0,97159752.7540054,42768.3992800701
40,50,52.41647,CHI-5,1, ,Chittenden-5,3996,4287,-291,-0.06788,CHI-5|-6.79%,0,CHI-5|-6.79%|3996|1.0,136041635.989609,48920.7340443886
41,52,157.989639,ADD-3,2, ,Addison-3,8144,8574,-430,-0.050152,ADD-3|-5.02%,0,ADD-3|-5.02%|8144|2.0,410036619.979622,96052.7404464665
42,53,168.444305,ADD-4,2, ,Addison-4,8940,8574,366,0.042687,ADD-4|4.27%,0,ADD-4|4.27%|8940|2.0,437149386.257591,98456.0962366739
43,54,92.384811,ADD-5,1, ,Addison-5,4147,4287,-140,-0.032657,ADD-5|-3.27%,0,ADD-5|-3.27%|4147|1.0,239761492.980812,108240.350711476
44,56,37.889263,ADD-1,2, ,Addison-1,8239,8574,-335,-0.039072,ADD-1|-3.91%,0,ADD-1|-3.91%|8239|2.0,98328452.3824768,41874.5716270705
45,179,6.656983,CHI-17,1, ,Chittenden-17,4045,4287,-242,-0.05645,CHI-17|-5.64%,0,CHI-17|-5.64%|4045|1.0,17278291.2552414,26219.5165515967
46,58,150.371918,ADD-2,1, ,Addison-2,4329,4287,42,0.009797,ADD-2|0.98%,0,ADD-2|0.98%|4329|1.0,390231708.898598,123428.234388148
