district_id,base_population,base_pop_dev,base_pop_score,base_pp,base_compactness_score,base_Fairness,opt_population,opt_pop_dev,opt_pop_score,opt_pp,opt_compactness_score,opt_Fairness,delta_pop_score,delta_compactness_score,delta_fairness,frontier_relative_base,frontier_relative_opt
42,196174,0.14563821854173892,0.0,0.30155077845871736,0.6031015569174347,0.2412406227669739,172482,0.007279105337691088,0.9272089466230892,0.5766482969445706,1.0,0.9563253679738535,0.9272089466230892,0.3968984430825653,0.7150847452068796,-84.31270443025369,259.80837054227305
88,200635,0.17169005055268174,0.0,0.29230728983690063,0.5846145796738013,0.23384583186952052,168723,0.014673110875968197,0.853268891240318,0.5351304467109799,1.0,0.9119613347441908,0.853268891240318,0.41538542032619874,0.6781155028746704,-87.87130837179423,238.45901452896354
34,257605,0.5043896402553073,0.0,0.20655356831918095,0.4131071366383619,0.16524285465534477,168878,0.01376792505178166,0.8623207494821834,0.31543906098272845,0.6308781219654569,0.7697436984754927,0.8623207494821834,0.217770985327095,0.604500843820148,-120.88519997484893,170.0194537623897
50,195539,0.1419298766168457,0.0,0.28315799773109895,0.5663159954621979,0.22652639818487919,172603,0.0079857342714109,0.9201426572858911,0.34239792801991964,0.6847958560398393,0.8260039367874703,0.9201426572858911,0.11847986057764137,0.5994775386025911,-91.39364807297216,197.093634572284
44,153227,0.10516833366044925,0.0,0.36649708848191204,0.7329941769638241,0.29319767078552966,170834,0.0023450639414018893,0.9765493605859811,0.37266492862322714,0.7453298572464543,0.8840615592501704,0.9765493605859811,0.012335680282630213,0.5908638884646407,-59.3093529584335,225.03277267602502
36,205566,0.20048663957889987,0.0,0.3547406503421243,0.7094813006842486,0.28379252027369944,169445,0.01045669690782188,0.8954330309217812,0.36003070367554973,0.7200614073510995,0.8252843814935085,0.8954330309217812,0.01058010666685083,0.541491861219809,-63.83540462727881,196.74736212986366
86,138199,0.19293047924674128,0.0,0.4656322119153675,0.931264423830735,0.37250576953229403,168281,0.01725435045203561,0.827456495479644,0.5104444919232947,1.0,0.8964738972877864,0.827456495479644,0.06873557616926496,0.5239681277554924,-21.14382309963587,231.0059767431752
77,201021,0.17394425525033336,0.0,0.20373932720527602,0.40747865441055203,0.16299146176422083,165918,0.03105405433947293,0.6894594566052707,0.2902198208230809,0.5804396416461618,0.6458515306216273,0.6894594566052707,0.17296098723560976,0.4828600688574064,-121.96864043008466,110.3986797655754
115,158989,0.07151878063488266,0.2848121936511734,0.28309593371872355,0.5661918674374471,0.39736406316568285,175788,0.026585842981308432,0.7341415701869156,0.5977945260434706,1.0,0.8404849421121494,0.44932937653574223,0.4338081325625529,0.44312087894646657,-9.181237148190826,204.0623458368066
16,143652,0.16108545796100462,0.0,0.22438369389813193,0.44876738779626385,0.17950695511850556,166259,0.029062645526262552,0.7093735447373746,0.24425551748201285,0.4885110349640257,0.621028540828035,0.7093735447373746,0.03974364716776185,0.4415215857095295,-114.02087009255098,98.45308312257652
17,139796,0.1836041453033484,0.0,0.30631069117264553,0.6126213823452911,0.24504855293811645,173011,0.010368416957011588,0.8963158304298842,0.18522433010578893,0.37044866021157785,0.6859689623425616,0.8963158304298842,-0.24217272213371321,0.4409204094044451,-82.48020970470226,129.7044387283832
18,137073,0.19950621626631573,0.0,0.25522048962342136,0.5104409792468427,0.2041763916987371,166893,0.02536014350991246,0.7463985649008754,0.2150028935996303,0.4300057871992606,0.6198414538202295,0.7463985649008754,-0.08043519204758215,0.41566506212149235,-102.14916804344651,97.88181984231483
27,198728,0.16055334496091578,0.0,0.49753781642016137,0.9950756328403227,0.3980302531361291,173612,0.013878201991438093,0.8612179800856191,0.3573162674530132,0.7146325349060264,0.802583802013782,0.8612179800856191,-0.28044309793429634,0.4045535488776529,-8.860645763319988,185.8231355043848
15,187801,0.09674066431003654,0.03259335689963461,0.3852328412339453,0.7704656824678906,0.32774228712693704,179154,0.04624297513751411,0.5375702486248589,0.5240561478482237,1.0,0.7225421491749153,0.5049768917252243,0.2295343175321094,0.3947998620479783,-42.68540651068839,147.30459654503406
118,138940,0.18860310701627533,0.0,0.22024078205817665,0.4404815641163533,0.17619262564654134,158959,0.07169397789117683,0.2830602210882317,0.5884279259776095,1.0,0.5698361326529391,0.2830602210882317,0.5595184358836467,0.3936435070063977,-115.61582877171493,73.81770018408321
119,100655,0.41218400559034973,0.0,0.3692117620048707,0.7384235240097414,0.29536940960389657,161959,0.05417425226176,0.45825747738239997,0.4982720116112486,0.9965440232224972,0.6735720957184389,0.45825747738239997,0.2581204992127558,0.37820268611454233,-58.2642445265374,123.73867998778816
100,198694,0.16035478807044906,0.0,0.24260912911418273,0.48521825822836545,0.19408730329134619,162731,0.04966584286645674,0.5033415713354326,0.3190934561682678,0.6381869123365356,0.5572797077358738,0.5033415713354326,0.15296865410817012,0.3631924044445276,-107.0043519520891,67.7751570180669
5,212744,0.2424055031015512,0.0,0.4882443600512396,0.9764887201024792,0.3905954880409917,173342,0.012301426684790579,0.8769857331520943,0.2580279266277714,0.5160558532555428,0.7326137811934736,0.8769857331520943,-0.4604328668469364,0.34201829315248194,-12.43848653513889,152.1513798950988
89,138313,0.19226472967282343,0.0,0.39702174591198497,0.7940434918239699,0.317617396729588,163171,0.04709628310747561,0.529037168925244,0.3986169569760364,0.7972339139520728,0.6363158669359755,0.529037168925244,0.003190422128102832,0.31869847020638753,-47.557819453166644,105.80982108822573
105,236989,0.38399408572995486,0.0,0.37685914830912887,0.7537182966182577,0.3014873186473031,161274,0.05817458961381018,0.4182541038618982,0.4364481611347611,0.8728963222695222,0.6001109912249478,0.4182541038618982,0.11917802565126445,0.2986236725776447,-55.32011594497729,88.38690606670457
