county_id,vtd_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
1,01,450,1879,1125,19,3473,0.19321597252039502,0.806784027479605,0.32392744025338327,0.005470774546501584
1,02,436,1970,1185,16,3607,0.18121363258520365,0.8187863674147964,0.32852786248960353,0.004435819240365955
1,035,1185,1337,1520,30,4072,0.4698651863600317,0.5301348136399683,0.37328094302554027,0.0073673870333988214
1,03C,523,879,796,15,2213,0.3730385164051355,0.6269614835948645,0.359692724807953,0.006778129236330773
1,03N,1168,1144,1363,17,3692,0.5051903114186851,0.49480968858131485,0.3691765980498375,0.004604550379198266
1,03S,2075,2013,2762,33,6883,0.5075831702544031,0.49241682974559686,0.4012785122766236,0.0047944210373383695
1,03W,705,1029,1054,16,2804,0.40657439446366783,0.5934256055363322,0.37589158345221113,0.005706134094151213
1,04,635,2006,1142,16,3799,0.24043922756531616,0.7595607724346838,0.30060542247959987,0.0042116346406949196
1,05,353,1355,792,13,2513,0.2066744730679157,0.7933255269320844,0.31516116195781935,0.005173099880620772
1,063,942,443,754,6,2145,0.68014440433213,0.31985559566787003,0.3515151515151515,0.002797202797202797
1,064,1239,1615,1699,18,4571,0.43412754029432377,0.5658724597056762,0.3716910960402538,0.003937869175235178
1,06E,691,563,739,10,2003,0.55103668261563,0.44896331738437,0.3689465801298053,0.004992511233150275
1,06N,876,393,707,15,1991,0.6903073286052009,0.30969267139479906,0.35509794073329987,0.007533902561526871
1,06S,1013,1059,1209,16,3297,0.4888996138996139,0.5111003861003861,0.3666969972702457,0.004852896572641796
1,06W,315,247,361,4,927,0.5604982206405694,0.4395017793594306,0.389428263214671,0.004314994606256742
1,07,458,1533,1013,14,3018,0.2300351582119538,0.7699648417880463,0.33565275016567264,0.004638833664678595
1,08N,625,1107,1018,22,2772,0.3608545034642032,0.6391454965357968,0.36724386724386726,0.007936507936507936
1,08S,278,668,489,4,1439,0.2938689217758985,0.7061310782241015,0.33981931897150797,0.002779708130646282
1,09N,760,758,863,10,2391,0.5006587615283268,0.4993412384716733,0.36093684650773733,0.004182350480970306
1,09S,1188,1646,1696,27,4557,0.4191954834156669,0.5808045165843331,0.37217467632214174,0.005924950625411455
1,103,1217,1381,1727,26,4351,0.46843725943033104,0.531562740569669,0.3969202482188003,0.0059756377844173755
1,10N,872,1151,1248,17,3288,0.4310430054374691,0.5689569945625309,0.3795620437956204,0.005170316301703163
1,10S,2613,1761,2882,36,7292,0.5973936899862826,0.40260631001371744,0.3952276467361492,0.004936917169500823
1,11,1179,1073,1030,16,3298,0.5235346358792184,0.47646536412078155,0.312310491206792,0.004851425106124924
1,1210,520,433,567,7,1527,0.5456453305351522,0.45435466946484787,0.3713163064833006,0.0045841519318926
1,124,504,468,571,10,1553,0.5185185185185185,0.48148148148148145,0.3676754668383773,0.00643915003219575
1,125,479,615,640,8,1742,0.43784277879341865,0.5621572212065814,0.36739380022962115,0.004592422502870264
1,126,406,643,618,4,1671,0.38703527168732127,0.6129647283126788,0.36983842010771995,0.0023937761819269898
1,127,1797,602,1199,20,3618,0.7490621092121718,0.25093789078782824,0.3313985627418463,0.00552791597567717
1,128,645,258,601,15,1519,0.7142857142857143,0.2857142857142857,0.3956550362080316,0.009874917709019092
1,129,368,675,561,12,1616,0.35282837967401726,0.6471716203259827,0.34715346534653463,0.007425742574257425
1,12E,559,238,465,5,1267,0.7013801756587202,0.2986198243412798,0.367008681925809,0.003946329913180742
1,12N,1612,279,825,11,2727,0.8524590163934426,0.14754098360655737,0.3025302530253025,0.004033736707004034
1,12S,392,199,380,2,973,0.6632825719120136,0.33671742808798644,0.39054470709146966,0.0020554984583761563
1,12W,592,450,645,8,1695,0.5681381957773513,0.43186180422264875,0.3805309734513274,0.00471976401179941
1,13,1307,904,1114,13,3338,0.5911352329262777,0.4088647670737223,0.33373277411623725,0.0038945476333133613
10,01,636,713,692,9,2050,0.4714603409933284,0.5285396590066717,0.3375609756097561,0.004390243902439025
10,02,2262,3452,3932,55,9701,0.3958697934896745,0.6041302065103256,0.40531903927430163,0.005669518606329245
10,03,586,421,647,16,1670,0.5819265143992055,0.41807348560079444,0.3874251497005988,0.009580838323353293
10,04,4671,7409,8843,116,21039,0.38667218543046356,0.6133278145695364,0.4203146537382956,0.005513570036598698
10,05,1286,2826,2781,48,6941,0.3127431906614786,0.6872568093385214,0.4006627287134419,0.00691543005330644
10,06,375,843,624,13,1855,0.3078817733990148,0.6921182266009852,0.3363881401617251,0.007008086253369272
10,07,705,1440,1362,14,3521,0.32867132867132864,0.6713286713286714,0.3868219255893212,0.003976143141153081
10,08,1053,2299,2142,20,5514,0.31414081145584727,0.6858591885441527,0.38846572361262244,0.003627130939426913
10,09,189,446,447,3,1085,0.29763779527559053,0.7023622047244095,0.4119815668202765,0.0027649769585253456
10,10,2316,6395,5903,56,14670,0.26587073814717027,0.7341292618528298,0.4023858214042263,0.0038173142467620995
10,11,781,1212,1174,23,3190,0.39187155042649274,0.6081284495735073,0.36802507836990594,0.007210031347962382
10,12,492,1569,1261,12,3334,0.23871906841339155,0.7612809315866085,0.37822435512897423,0.003599280143971206
10,13,637,1556,1432,23,3648,0.29046967624259007,0.70953032375741,0.3925438596491228,0.006304824561403508
10,14,681,2142,1765,26,4614,0.2412327311370882,0.7587672688629118,0.38253142609449503,0.005635023840485479
10,15,1237,3885,3011,27,8160,0.24150722374072628,0.7584927762592737,0.3689950980392157,0.0033088235294117647
10,16,1075,2886,2525,30,6516,0.2713961120929058,0.7286038879070942,0.3875076734192756,0.004604051565377533
10,17,1553,4013,3136,18,8720,0.27901545095220986,0.7209845490477902,0.3596330275229358,0.0020642201834862386
10,18,273,916,639,5,1833,0.22960470984020184,0.7703952901597981,0.3486088379705401,0.002727768685215494
10,19,962,2686,2094,12,5754,0.2637061403508772,0.7362938596491229,0.36392075078206465,0.0020855057351407717
10,20,585,1928,1495,22,4030,0.23278949462793475,0.7672105053720653,0.3709677419354839,0.005459057071960298
10,21,672,2338,2111,36,5157,0.22325581395348837,0.7767441860465116,0.40934651929416327,0.006980802792321117
10,22,515,1380,1230,21,3146,0.2717678100263852,0.7282321899736148,0.39097266369993644,0.006675143038779402
10,23,525,1452,1327,17,3321,0.26555386949924126,0.7344461305007587,0.39957844022884675,0.005118940078289671
