county_id,precinct_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
1,01,450,1879,1125,19,3473,0.19321597252039502,0.806784027479605,0.32392744025338327,0.005470774546501584
1,02,436,1970,1185,16,3607,0.18121363258520365,0.8187863674147964,0.32852786248960353,0.004435819240365955
1,035,1185,1337,1520,30,4072,0.4698651863600317,0.5301348136399683,0.37328094302554027,0.0073673870333988214
1,03C,523,879,796,15,2213,0.3730385164051355,0.6269614835948645,0.359692724807953,0.006778129236330773
1,03N,912,966,1084,16,2978,0.48562300319488816,0.5143769968051118,0.36400268636668903,0.005372733378106112
1,03N2,256,178,279,1,714,0.5898617511520737,0.41013824884792627,0.3907563025210084,0.0014005602240896359
1,03SE,1085,991,1275,14,3365,0.5226396917148363,0.4773603082851638,0.3789004457652303,0.004160475482912333
1,03SM,990,1022,1487,19,3518,0.49204771371769385,0.5079522862823062,0.42268334280841385,0.005400795906765207
1,03W,705,1029,1054,16,2804,0.40657439446366783,0.5934256055363322,0.37589158345221113,0.005706134094151213
1,04,635,2006,1142,16,3799,0.24043922756531616,0.7595607724346838,0.30060542247959987,0.0042116346406949196
1,05,353,1355,792,13,2513,0.2066744730679157,0.7933255269320844,0.31516116195781935,0.005173099880620772
1,063,942,443,754,6,2145,0.68014440433213,0.31985559566787003,0.3515151515151515,0.002797202797202797
1,064,1239,1615,1699,18,4571,0.43412754029432377,0.5658724597056762,0.3716910960402538,0.003937869175235178
1,06E,691,563,739,10,2003,0.55103668261563,0.44896331738437,0.3689465801298053,0.004992511233150275
1,06N,876,393,707,15,1991,0.6903073286052009,0.30969267139479906,0.35509794073329987,0.007533902561526871
1,06S,1013,1059,1209,16,3297,0.4888996138996139,0.5111003861003861,0.3666969972702457,0.004852896572641796
1,06W,315,247,361,4,927,0.5604982206405694,0.4395017793594306,0.389428263214671,0.004314994606256742
1,07,458,1533,1013,14,3018,0.2300351582119538,0.7699648417880463,0.33565275016567264,0.004638833664678595
1,08N,625,1107,1018,22,2772,0.3608545034642032,0.6391454965357968,0.36724386724386726,0.007936507936507936
1,08S,278,668,489,4,1439,0.2938689217758985,0.7061310782241015,0.33981931897150797,0.002779708130646282
1,09N,760,758,863,10,2391,0.5006587615283268,0.4993412384716733,0.36093684650773733,0.004182350480970306
1,09S,1188,1646,1696,27,4557,0.4191954834156669,0.5808045165843331,0.37217467632214174,0.005924950625411455
1,103,1217,1381,1727,26,4351,0.46843725943033104,0.531562740569669,0.3969202482188003,0.0059756377844173755
1,104,719,422,779,7,1927,0.6301489921121823,0.3698510078878177,0.40425531914893614,0.0036325895173845357
1,10N,872,1151,1248,17,3288,0.4310430054374691,0.5689569945625309,0.3795620437956204,0.005170316301703163
1,10S1,1894,1339,2103,29,5365,0.5858335910918652,0.4141664089081349,0.3919850885368127,0.005405405405405406
1,11,1179,1073,1030,16,3298,0.5235346358792184,0.47646536412078155,0.312310491206792,0.004851425106124924
1,1210,520,433,567,7,1527,0.5456453305351522,0.45435466946484787,0.3713163064833006,0.0045841519318926
1,124,504,468,571,10,1553,0.5185185185185185,0.48148148148148145,0.3676754668383773,0.00643915003219575
1,125,479,615,640,8,1742,0.43784277879341865,0.5621572212065814,0.36739380022962115,0.004592422502870264
1,126,406,643,618,4,1671,0.38703527168732127,0.6129647283126788,0.36983842010771995,0.0023937761819269898
1,127,1797,602,1199,20,3618,0.7490621092121718,0.25093789078782824,0.3313985627418463,0.00552791597567717
1,128,645,258,601,15,1519,0.7142857142857143,0.2857142857142857,0.3956550362080316,0.009874917709019092
1,129,368,675,561,12,1616,0.35282837967401726,0.6471716203259827,0.34715346534653463,0.007425742574257425
1,12E,559,238,465,5,1267,0.7013801756587202,0.2986198243412798,0.367008681925809,0.003946329913180742
1,12N,1612,279,825,11,2727,0.8524590163934426,0.14754098360655737,0.3025302530253025,0.004033736707004034
1,12S,392,199,380,2,973,0.6632825719120136,0.33671742808798644,0.39054470709146966,0.0020554984583761563
1,12W,592,450,645,8,1695,0.5681381957773513,0.43186180422264875,0.3805309734513274,0.00471976401179941
1,13,1307,904,1114,13,3338,0.5911352329262777,0.4088647670737223,0.33373277411623725,0.0038945476333133613
10,CB01,472,929,812,17,2230,0.3369022127052106,0.6630977872947894,0.36412556053811657,0.007623318385650224
10,CB02,1071,2797,2538,38,6444,0.27688728024819026,0.7231127197518097,0.39385474860335196,0.005896958410924891
10,CB03,424,1225,1001,17,2667,0.25712553062462096,0.742874469375379,0.3753280839895013,0.006374203224596925
10,CB04,585,1925,1495,22,4027,0.23306772908366533,0.7669322709163346,0.37124410230941146,0.005463123913583313
10,CB05,567,1638,1348,13,3566,0.2571428571428571,0.7428571428571429,0.37801458216489064,0.0036455412226584407
10,CB06,1115,3186,2816,36,7153,0.2592420367356429,0.7407579632643572,0.393680973018314,0.005032853348245492
10,NB01,636,713,692,9,2050,0.4714603409933284,0.5285396590066717,0.3375609756097561,0.004390243902439025
10,NB02,2002,3043,3445,45,8535,0.39682854311199206,0.6031714568880079,0.4036321031048623,0.005272407732864675
10,NB03,1029,2336,2160,41,5566,0.3057949479940565,0.6942050520059435,0.3880704275961193,0.0073661516349263385
10,NB04,1402,2317,2761,28,6508,0.3769830599623555,0.6230169400376445,0.4242470805162876,0.0043023970497848806
10,NB05,1014,947,1324,28,3313,0.5170831208567057,0.48291687914329423,0.39963779052218534,0.008451554482342288
10,NB06,1432,2329,2835,19,6615,0.38074980058495084,0.6192501994150492,0.42857142857142855,0.002872260015117158
10,NB07,1926,3136,3678,74,8814,0.38048202291584354,0.6195179770841565,0.4172906739278421,0.008395734059450873
10,SB01,609,1057,898,18,2582,0.36554621848739494,0.634453781512605,0.34779240898528274,0.006971340046475601
10,SB02,672,2338,2111,36,5157,0.22325581395348837,0.7767441860465116,0.40934651929416327,0.006980802792321117
10,SB03,1427,3723,3619,25,8794,0.2770873786407767,0.7229126213592233,0.41153058903798045,0.002842847395951785
10,SB04,705,1440,1362,14,3521,0.32867132867132864,0.6713286713286714,0.3868219255893212,0.003976143141153081
10,SB05,670,1352,1243,12,3277,0.3313550939663699,0.66864490603363,0.3793103448275862,0.00366188587122368
10,SB06,525,1452,1327,17,3321,0.26555386949924126,0.7344461305007587,0.39957844022884675,0.005118940078289671
10,SB07,515,1380,1230,21,3146,0.2717678100263852,0.7282321899736148,0.39097266369993644,0.006675143038779402
