district_id,base_population,base_pop_dev,base_pop_score,base_pp,base_compactness_score,base_Fairness,opt_population,opt_pop_dev,opt_pop_score,opt_pp,opt_compactness_score,opt_Fairness,delta_pop_score,delta_compactness_score,delta_fairness,frontier_relative_base,frontier_relative_opt
1,736543,0.012240755875727647,0.8775924412427235,0.28617121373635096,0.5723424274727019,0.7554924357347148,742958,0.003637761140787247,0.9636223885921276,0.2658359831671783,0.5316719663343566,0.7908422196890191,0.08602994734940406,-0.04067046113834527,0.035349783954304326,-22.286829498499902,5.895616675045657
3,750614,0.006629507400242169,0.9337049259975783,0.28920653774295757,0.5784130754859151,0.791588185792913,744199,0.0019734873346982313,0.9802651266530177,0.27503658896700534,0.5500731779340107,0.8081883471654149,0.04656020065543942,-0.02833989755190447,0.016600161372501865,6.490334583292418,19.724733836126855
0,744418,0.0016797919571531106,0.9832020804284689,0.2651710115936351,0.5303420231872702,0.8020580575319894,744418,0.0016797919571531106,0.9832020804284689,0.2651710115936351,0.5303420231872702,0.8020580575319894,0.0,0.0,0.0,14.837389748095452,14.837389748095452
2,744927,0.000997184892447785,0.9900281510755221,0.25255799576433285,0.5051159915286657,0.7960632872567796,744927,0.000997184892447785,0.9900281510755221,0.25255799576433285,0.5051159915286657,0.7960632872567796,0.0,0.0,0.0,10.058087820189268,10.058087820189268
4,742979,0.003609598570337715,0.9639040142966229,0.238009103082468,0.476018206164936,0.7687496910439481,742979,0.003609598570337715,0.9639040142966229,0.238009103082468,0.476018206164936,0.7687496910439481,0.0,0.0,0.0,-11.717546114918596,-11.717546114918596
5,747062,0.0018660097699213115,0.9813399023007869,0.3170175901056162,0.6340351802112324,0.842418013464965,747062,0.0018660097699213115,0.9813399023007869,0.3170175901056162,0.6340351802112324,0.842418013464965,0.0,0.0,0.0,47.014171567132735,47.014171567132735
6,745872,0.00027013077778115935,0.9972986922221884,0.30159063124405894,0.6031812624881179,0.8396517203285601,745872,0.00027013077778115935,0.9972986922221884,0.30159063124405894,0.6031812624881179,0.8396517203285601,0.0,0.0,0.0,44.80875759578401,44.80875759578401
8,743116,0.0034258713250241006,0.965741286749759,0.17122857046969542,0.34245714093939084,0.7164276284256117,743116,0.0034258713250241006,0.965741286749759,0.17122857046969542,0.34245714093939084,0.7164276284256117,0.0,0.0,0.0,-53.4310602720708,-53.4310602720708
9,746136,0.0006241745205752771,0.9937582547942472,0.2877925291175575,0.575585058235115,0.8264889761705942,746136,0.0006241745205752771,0.9937582547942472,0.2877925291175575,0.575585058235115,0.8264889761705942,0.0,0.0,0.0,34.31482277548779,34.31482277548779
10,746122,0.0006053994736089224,0.9939460052639107,0.2761859601415032,0.5523719202830064,0.817316371271549,746122,0.0006053994736089224,0.9939460052639107,0.2761859601415032,0.5523719202830064,0.817316371271549,0.0,0.0,0.0,27.002007393851873,27.002007393851873
12,754776,0.012211060648382769,0.8778893935161723,0.1394555181490354,0.2789110362980708,0.6382980506289317,754776,0.012211060648382769,0.8778893935161723,0.1394555181490354,0.2789110362980708,0.6382980506289317,0.0,0.0,0.0,-115.7194924634269,-115.7194924634269
13,746857,0.0015910894393425458,0.9840891056065746,0.17135135572750426,0.3427027114550085,0.7275345479459482,746857,0.0015910894393425458,0.9840891056065746,0.17135135572750426,0.3427027114550085,0.7275345479459482,0.0,0.0,0.0,-44.576121810765976,-44.576121810765976
7,744281,0.0018635192024667247,0.9813648079753328,0.2870639450426498,0.5741278900852996,0.8184700408193195,749398,0.0049987604637359295,0.9500123953626407,0.29396537456165633,0.5879307491233127,0.8051797368669095,-0.03135241261269206,0.013802859038013038,-0.013290303952410043,27.921764922614432,17.32613366633772
11,745685,1.9349793301992558e-05,0.9998065020669801,0.2847754668845923,0.5695509337691846,0.8277042747478618,740568,0.006842929872900662,0.9315707012709934,0.30957835214600854,0.6191567042920171,0.8066051024794029,-0.06823580079598668,0.04960577052283244,-0.02109917226845892,35.28371375323473,18.462499583132153
