map_id,seed,accepted_moves,valid_candidates_seen,map_score,avg_pop_score,avg_compactness_score,max_pop_dev,improvement_vs_enacted
1,85,0,0,0.768572170390786,0.8213200006923536,0.6894504249384347,0.6304849455187633,0.0
2,86,0,0,0.768572170390786,0.8213200006923536,0.6894504249384347,0.6304849455187633,0.0
3,87,0,0,0.768572170390786,0.8213200006923536,0.6894504249384347,0.6304849455187633,0.0
4,88,0,0,0.768572170390786,0.8213200006923536,0.6894504249384347,0.6304849455187633,0.0
5,89,0,0,0.768572170390786,0.8213200006923536,0.6894504249384347,0.6304849455187633,0.0
