district_current,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness,grade
01,797584.0,0.03406397637914476,0.6593602362085524,28484214618.02477,1123634.8530394465,0.28350695005485577,0.5670139001097115,0.6224217017690161,C
02,859284.0,0.04065950435442909,0.5934049564557091,33632669537.619293,1306463.2674016184,0.2476149128476257,0.4952298256952514,0.554134904151526,C
03,797551.0,0.03410394193610113,0.6589605806389887,27838159568.672813,1439396.0515610846,0.16884560861051018,0.33769121722102036,0.5304528352718013,D
04,848425.0,0.0275084139608168,0.724915860391832,55740727061.06266,2719079.3696737695,0.09474116561892584,0.1894823312378517,0.5107424487302399,D
