house_id,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness,grade
1,32022.0,0.03047192056300577,0.6952807943699424,37444399.03059522,35992.925300222494,0.36321388176789365,0.7264277635357873,0.7077395820362804,B
2,31969.0,0.032076598228678144,0.6792340177132186,251411442.5871563,86606.08033509705,0.42120947989642277,0.8424189597928455,0.7445079945450693,B
3,31928.0,0.03331795264929262,0.6668204735070739,2170302594.328777,400475.3945799741,0.17005072100816349,0.34010144201632697,0.536132860910775,D
4,31733.0,0.03922195538148342,0.6077804461851659,2411021827.982229,250027.49412391693,0.4846580937364014,0.9693161874728028,0.7523947427002207,B
5,40988.0,0.2409910973694185,0.0,3731420921.856797,326482.78579393926,0.4399096929232075,0.879819385846415,0.351927754338566,F
6,85263.0,1.5815024869476122,0.0,2070737822.2768946,251936.65983665263,0.40997015831785083,0.8199403166357017,0.32797612665428066,F
7,31944.0,0.03283352165588209,0.6716647834411791,5358848572.871716,544508.4580222869,0.22712873853290685,0.4542574770658137,0.5847018608910329,C
8,31874.0,0.03495290725205315,0.6504709274794686,980443680.7015789,250651.79035561054,0.19610600551712837,0.39221201103425674,0.5471673609013838,D
9,31980.0,0.0317435519207084,0.6825644807929161,3969953760.759518,439099.5428577904,0.2587434368546297,0.5174868737092594,0.6165334379594534,C
10,31915.0,0.033711552831438674,0.6628844716856133,3697804589.319598,443506.0799227214,0.2362406698781772,0.4724813397563544,0.5867232189139098,C
11,31989.0,0.03147105948691498,0.6852894051308502,3590909522.762077,368311.3385531771,0.33264741192195135,0.6652948238439027,0.6772915726160712,C
12,31818.0,0.03664841572898999,0.6335158427101002,3721804803.982926,325375.96116436296,0.4417662443584824,0.8835324887169648,0.7335225011128461,B
13,31807.0,0.036981462036959734,0.6301853796304027,5385643874.551659,694138.8149201835,0.14046070255700335,0.2809214051140067,0.49047978982384427,D
14,31893.0,0.03437764544737815,0.6562235455262185,235861193.28555158,68425.96088754304,0.6330303696848126,1.0,0.7937341273157311,B
15,31749.0,0.038737524388072896,0.612624756119271,2529401037.1846256,319567.94100792194,0.31124411413864045,0.6224882282772809,0.616570144982475,C
16,31826.0,0.036406200232284726,0.6359379976771528,3950397925.5116916,361000.5749410817,0.3809210049255181,0.7618420098510362,0.6862996025467062,C
17,31748.0,0.03876780132516105,0.6123219867483896,4981294510.038324,539004.2286602501,0.21546053735398737,0.43092107470797475,0.5397616219322237,D
18,31759.0,0.03843475501719131,0.6156524498280869,3494007242.2769938,352732.18586141104,0.352893358949056,0.705786717898112,0.6517061570560969,C
19,31784.0,0.037677831589987366,0.6232216841001263,89980475.87656859,72571.05113564205,0.2146996431501713,0.4293992863003426,0.5456927249802128,D
20,31882.0,0.03471069175534788,0.6528930824465211,26157285.141539566,34722.87685673176,0.27262842238324414,0.5452568447664883,0.609838587374508,C
21,31787.0,0.03758700077872289,0.6241299922127712,1012177420.9894365,234903.50492747544,0.23050880300996276,0.46101760601992553,0.5588850377356329,C
22,31772.0,0.038041154835045256,0.6195884516495475,914994379.0418196,224760.89569171748,0.22760761178921907,0.45521522357843813,0.5538391604211037,C
23,31838.0,0.036042876987226836,0.6395712301277316,3977127399.8132505,411297.34268101555,0.29543881983218345,0.5908776396643669,0.6200937939423858,C
24,31766.0,0.03822281645757421,0.617771835424258,4958741950.701098,303253.4626515817,0.6775944428406138,1.0,0.7706631012545548,B
25,31972.0,0.031985767417413664,0.6801423258258634,654298071.532612,124168.59533570903,0.5332881923191605,1.0,0.808085395495518,B
26,31768.0,0.03816226258339789,0.6183773741660211,3996052865.6603913,347196.25402938685,0.41657291320116063,0.8331458264023213,0.7042847550605411,B
27,31685.0,0.040675248361715,0.59324751638285,67841797.36173013,66492.00835551498,0.19282720568437714,0.3856544113687543,0.5102102743772117,D
28,32137.0,0.026990072797867602,0.730099272021324,245210879.8610693,144208.12133698174,0.14817337101706174,0.2963467420341235,0.5565982600264437,C
29,31865.0,0.03522539968584657,0.6477460031415343,60694025.103801444,39664.430905292495,0.48478966075908503,0.9695793215181701,0.7764793304921886,B
30,31878.0,0.034831799503700515,0.6516820049629949,42437935.794443496,37798.0115626424,0.37327268299049937,0.7465453659809987,0.6896273493701964,C
31,32047.0,0.02971499713580182,0.7028500286419819,62596820.73206288,47845.10397382393,0.3436268846231362,0.6872537692462724,0.6966115248836982,C
32,32176.0,0.025809272251429444,0.7419072774857056,27016273.5172249,35291.910938701265,0.2725743338426224,0.5451486676852448,0.6632038335655213,C
33,32104.0,0.027989211721776815,0.7201078827822318,20018260.85130051,30677.72787013417,0.26729437949550255,0.5345887589910051,0.6459002332657411,C
34,31886.0,0.03458958400699525,0.6541041599300474,17516384.912641063,20670.86416409414,0.5151540018234922,1.0,0.7924624959580284,B
35,32015.0,0.030683859122622874,0.6931614087737712,20250673.488529544,25823.46364144177,0.38161052996503875,0.7632210599300775,0.7211852692362937,B
36,31963.0,0.03225825985120709,0.6774174014879291,32074169.15633753,26936.142794970994,0.5555133086380921,1.0,0.8064504408927575,B
37,31835.0,0.03613370779849131,0.638662922015087,2047271085.4898117,343208.4463578989,0.21840837225740956,0.4368167445148191,0.5579244510149799,C
38,31898.0,0.034226260761937355,0.6577373923806265,1419199979.4390504,219366.2054159692,0.3706073382782545,0.741214676556509,0.6911283060509794,C
39,31995.0,0.03128939786438603,0.6871060213561397,57367051.575089924,91488.02578122838,0.08612790460468135,0.1722558092093627,0.48116593649742895,D
