county,path,raw_rows,clean_rows,raw_crs,minx,miny,maxx,maxy
Sioux,/Users/kunsel03/Desktop/Thesis/data/extracted/Sioux/County_Sioux_Precincts.shp,17,17,EPSG:4326,-96.57151743471292,42.908778462168335,-95.85933120278412,43.26015851261139
Butler,/Users/kunsel03/Desktop/Thesis/data/extracted/Butler/County_Butler_Precincts.shp,8,8,EPSG:4326,-93.02700737543698,42.55578966551497,-92.55414824995859,42.90755669745772
Greene,/Users/kunsel03/Desktop/Thesis/data/extracted/Greene/Greene_County_-_Precincts.shp,6,6,EPSG:4326,-94.62964374347179,41.8627704305362,-94.1641456106999,42.20992751483617
Hancock,/Users/kunsel03/Desktop/Thesis/data/extracted/Hancock/Hancock_County_Reprecincting_Plan_2021.shp,10,10,EPSG:4326,-93.97148868617892,42.90776963562077,-93.49751458976311,43.255634712042784
Union,/Users/kunsel03/Desktop/Thesis/data/extracted/Union/Union_County_Precinct_Plan.shp,8,8,EPSG:4326,-94.47125960076478,40.89703831497515,-94.01419649045263,41.157587329210266
Buena Vista,/Users/kunsel03/Desktop/Thesis/data/extracted/Buena Vista/BuenaVistaPrecincts.shp,9,9,EPSG:4326,-95.38826103609912,42.560316519899935,-94.91383593419216,42.910146546560824
Audubon,/Users/kunsel03/Desktop/Thesis/data/extracted/Audubon/AUDCO_Oct_15.shp,2,2,EPSG:4326,-95.09336185372284,41.50413136939951,-94.70060771729439,41.86338140077579
Pocahontas,/Users/kunsel03/Desktop/Thesis/data/extracted/Pocahontas/County_Pocahontas_Precinct_Map.shp,7,7,EPSG:4326,-94.91558091026997,42.55876454548522,-94.4425488058868,42.909707573130895
Worth,/Users/kunsel03/Desktop/Thesis/data/extracted/Worth/Worth_County_-_Approved_Precincts.shp,7,7,EPSG:4326,-93.49782861053224,43.25503174098906,-93.02391547362927,43.49974078892572
Buchanan,/Users/kunsel03/Desktop/Thesis/data/extracted/Buchananan/Buchanan_County_Precincts_-_SOS_REVISED.shp,14,14,EPSG:4326,-92.08243710594297,42.29641569075173,-91.5969879422514,42.64398074600782
Muscatine,/Users/kunsel03/Desktop/Thesis/data/extracted/Muscatine/Muscatine_County_Precincts_2020.shp,25,25,EPSG:4326,-91.36933877399309,41.333606564164434,-90.78367063430784,41.59838059067895
Carroll,/Users/kunsel03/Desktop/Thesis/data/extracted/Carroll/County_Carroll_Voting_Precincts.shp,13,13,EPSG:4326,-95.09309186681551,41.862316423490924,-94.62873173797291,42.210422455723915
Wapello,/Users/kunsel03/Desktop/Thesis/data/extracted/Wapello/WapCoPrecincts.shp,13,13,EPSG:4326,-92.64036811204855,40.89887440035201,-92.17898996499359,41.16267046984579
Keokuk,/Users/kunsel03/Desktop/Thesis/data/extracted/Keokuk/Keokuk_County_Precincts.shp,11,11,EPSG:4326,-92.41210308454733,41.16192745616762,-91.94464792405216,41.51080253903992
Warren,/Users/kunsel03/Desktop/Thesis/data/extracted/Warren/Warren_Co_Precincts_-_SOS_REVISED.shp,37,37,EPSG:4326,-93.79083545555422,41.16050839543104,-93.32789330254248,41.512101437281316
Monona,/Users/kunsel03/Desktop/Thesis/data/extracted/Monona/Monona_Precincts_SOS.shp,10,10,EPSG:4326,-96.35987824777547,41.863154362920135,-95.67057906053164,42.21500937059853
Johnson,/Users/kunsel03/Desktop/Thesis/data/extracted/Johnson/Johnson_County_Precincts_-_SOS_REVISED.shp,65,65,EPSG:4326,-91.83419194240216,41.42318556153367,-91.36590381833756,41.86204261298995
Lucas,/Users/kunsel03/Desktop/Thesis/data/extracted/Lucas/Reprecincting_2020_census.shp,7,7,EPSG:4326,-93.55759336591451,40.89758835008744,-93.09760221112832,41.16131838701069
